name,|~explanation,|~group,|~group_name,|~element_alphabetic_value,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
Salazar,|~Diamidov and % turn to upper arms.,|~I,|~Elements in support or through support on 2 bars,|~C,|~0.3,|~122,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-3-col-3.png
De Freitas,|~% Diamidov and rear vault to side hang on 1 bar.,|~I,|~Elements in support or through support on 2 bars,|~D,|~0.4,|~122,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-3-col-4.png
,|~,|~I,|~Elements in support or through support on 2 bars,|~E,|~0.5,|~122,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-3-col-5.png
,|~,|~I,|~Elements in support or through support on 2 bars,|~F/G/H,|~0.6,|~122,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-3-col-6.png
,|~Straddle cut bwd. to support.,|~I,|~Elements in support or through support on 2 bars,|~A,|~0.1,|~122,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-4-col-1.png
,|~Strad. cut bwd. and salto fwd. to up. arm hang.,|~I,|~Elements in support or through support on 2 bars,|~B,|~0.2,|~122,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-4-col-2.png
Diamidov,|~Swing fwd. w. 1/1 t. on 1 arm to hdst.,|~I,|~Elements in support or through support on 2 bars,|~C,|~0.3,|~122,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-4-col-3.png
,|~Diamidov with % or ¥ t. to hdst.,|~I,|~Elements in support or through support on 2 bars,|~D,|~0.4,|~122,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-4-col-4.png
,|~,|~I,|~Elements in support or through support on 2 bars,|~E,|~0.5,|~122,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-4-col-5.png
,|~,|~I,|~Elements in support or through support on 2 bars,|~F/G/H,|~0.6,|~122,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-122-row-4-col-6.png
,|~,|~I,|~Elements in support or through support on 2 bars,|~A,|~0.1,|~123,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-1-col-1.png
,|~. S'élever corps t., bras fl. ou corps fl., bras Any press w. bent arm str. body, or str. arm bent body to hdst., on 1 or 2 rails (2 s.) also straddled.,|~I,|~Elements in support or through support on 2 bars,|~B,|~0.2,|~123,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-1-col-2.png
,|~Healy a l'appui. Healy to support.,|~I,|~Elements in support or through support on 2 bars,|~C,|~0.3,|~123,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-1-col-3.png
,|~Swing forward with 5/4 t. on one arm through- hdst. and healy to up. arm.,|~I,|~Elements in support or through support on 2 bars,|~D,|~0.4,|~123,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-1-col-4.png
Makuts,|~% Diamidov & % Healy on the other hand to supp.,|~I,|~Elements in support or through support on 2 bars,|~E,|~0.5,|~123,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-1-col-5.png
Zonderland,|~Swing forward with 5/4 t. on one arm through hdst. and healy to support.,|~I,|~Elements in support or through support on 2 bars,|~F/G/H,|~0.6,|~123,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-1-col-6.png
,|~,|~I,|~Elements in support or through support on 2 bars,|~A,|~0.1,|~123,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-2-col-1.png
Carballo,|~‘Swing fwd. to hdst., hop to support.,|~I,|~Elements in support or through support on 2 bars,|~B,|~0.2,|~123,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-2-col-2.png
,|~Salto bwd to handstand. Also to one rail.,|~I,|~Elements in support or through support on 2 bars,|~C,|~0.3,|~123,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-2-col-3.png
,|~Salto backward with straddle cut to support.,|~I,|~Elements in support or through support on 2 bars,|~D,|~0.4,|~123,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-2-col-4.png
,|~,|~I,|~Elements in support or through support on 2 bars,|~E,|~0.5,|~123,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-2-col-5.png
,|~,|~I,|~Elements in support or through support on 2 bars,|~F/G/H,|~0.6,|~123,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-2-col-6.png
,|~,|~I,|~Elements in support or through support on 2 bars,|~A,|~0.1,|~123,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-3-col-1.png
,|~,|~I,|~Elements in support or through support on 2 bars,|~B,|~0.2,|~123,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-3-col-2.png
,|~,|~I,|~Elements in support or through support on 2 bars,|~C,|~0.3,|~123,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-3-col-3.png
Rumbutis,|~Salto bwd to handstand 1 rail ‘connedted to,|~I,|~Elements in support or through support on 2 bars,|~D,|~0.4,|~123,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-3-col-4.png
,|~,|~I,|~Elements in support or through support on 2 bars,|~E,|~0.5,|~123,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-3-col-5.png
,|~,|~I,|~Elements in support or through support on 2 bars,|~F/G/H,|~0.6,|~123,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-3-col-6.png
,|~,|~I,|~Elements in support or through support on 2 bars,|~A,|~0.1,|~123,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-4-col-1.png
,|~,|~I,|~Elements in support or through support on 2 bars,|~B,|~0.2,|~123,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-4-col-2.png
Toumilovich,|~Salto bwd. with ¥ t. to up. arm hang.,|~I,|~Elements in support or through support on 2 bars,|~C,|~0.3,|~123,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-4-col-3.png
Morisue,|~Double salto t. to up. arm hang.,|~I,|~Elements in support or through support on 2 bars,|~D,|~0.4,|~123,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-4-col-4.png
Huang Liping,|~Double salto p. to up. arm hang.,|~I,|~Elements in support or through support on 2 bars,|~E,|~0.5,|~123,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-4-col-5.png
Kuavita,|~Double salto backwards with halfturn toupperarm.,|~I,|~Elements in support or through support on 2 bars,|~F/G/H,|~0.6,|~123,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-123-row-4-col-6.png
,|~,|~IV,|~Dismounts,|~A,|~0.1,|~137,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-1-col-1.png
,|~,|~IV,|~Dismounts,|~B,|~0.2,|~137,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-1-col-2.png
,|~,|~IV,|~Dismounts,|~C,|~0.3,|~137,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-1-col-3.png
Roethlisberger,|~High wende and salto bwd tuck or p.,|~IV,|~Dismounts,|~D,|~0.4,|~137,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-1-col-4.png
,|~,|~IV,|~Dismounts,|~E,|~0.5,|~137,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-1-col-5.png
,|~,|~IV,|~Dismounts,|~F/G/H,|~0.6,|~137,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-1-col-6.png
,|~,|~IV,|~Dismounts,|~A,|~0.1,|~137,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-2-col-1.png
,|~lh a Peon ({,|~IV,|~Dismounts,|~B,|~0.2,|~137,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-2-col-2.png
,|~,|~IV,|~Dismounts,|~C,|~0.3,|~137,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-2-col-3.png
,|~,|~IV,|~Dismounts,|~D,|~0.4,|~137,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-2-col-4.png
,|~,|~IV,|~Dismounts,|~E,|~0.5,|~137,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-2-col-5.png
Hiroyuki Kato,|~Double salto bwd. t. with 1/1 t.,|~IV,|~Dismounts,|~F/G/H,|~0.6,|~137,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-137-row-2-col-6.png
