name,|~explanation,|~group,|~group_name,|~element_alphabetic_value,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
,|~,|~III,|~In bar and Adler elements,|~A,|~0.1,|~154,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-154-row-4-col-1.png
,|~,|~III,|~In bar and Adler elements,|~B,|~0.2,|~154,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-154-row-4-col-2.png
,|~,|~III,|~In bar and Adler elements,|~C,|~0.3,|~154,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-154-row-4-col-3.png
,|~,|~III,|~In bar and Adler elements,|~D,|~0.4,|~154,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-154-row-4-col-4.png
,|~,|~III,|~In bar and Adler elements,|~E,|~0.5,|~154,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-154-row-4-col-5.png
,|~,|~III,|~In bar and Adler elements,|~F/G/H,|~0.6,|~154,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-154-row-4-col-6.png
,|~,|~III,|~,|~A,|~0.1,|~156,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-1-col-1.png
,|~,|~III,|~,|~B,|~0.2,|~156,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-1-col-2.png
,|~,|~III,|~,|~C,|~0.3,|~156,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-1-col-3.png
,|~,|~III,|~,|~D,|~0.4,|~156,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-1-col-4.png
,|~,|~III,|~,|~E,|~0.5,|~156,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-1-col-5.png
,|~,|~III,|~,|~F/G/H,|~0.6,|~156,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-1-col-6.png
,|~,|~III,|~,|~A,|~0.1,|~156,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-2-col-1.png
,|~Stalder with hop through hdst.,|~III,|~,|~B,|~0.2,|~156,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-2-col-2.png
,|~Stalder legs together with hop through hdst.,|~III,|~,|~C,|~0.3,|~156,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-2-col-3.png
,|~,|~III,|~,|~D,|~0.4,|~156,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-2-col-4.png
,|~,|~III,|~,|~E,|~0.5,|~156,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-2-col-5.png
,|~,|~III,|~,|~F/G/H,|~0.6,|~156,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-2-col-6.png
,|~,|~III,|~,|~A,|~0.1,|~156,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-3-col-1.png
,|~,|~III,|~,|~B,|~0.2,|~156,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-3-col-2.png
,|~Stoop circle rearward fwd. through hdst.,|~III,|~,|~C,|~0.3,|~156,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-3-col-3.png
,|~Adler with ¥% t. through hast. in ovgr. . oN,|~III,|~,|~D,|~0.4,|~156,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-3-col-4.png
,|~Adler and 1/1 t. through hdst. in ungr.,|~III,|~,|~E,|~0.5,|~156,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-3-col-5.png
,|~,|~III,|~,|~F/G/H,|~0.6,|~156,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-3-col-6.png
,|~,|~III,|~,|~A,|~0.1,|~156,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-4-col-1.png
,|~,|~III,|~,|~B,|~0.2,|~156,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-4-col-2.png
,|~,|~III,|~,|~C,|~0.3,|~156,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-4-col-3.png
,|~Adler hop to hdst. in ungr. or ovgr. or mixed grip.,|~III,|~,|~D,|~0.4,|~156,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-4-col-4.png
,|~,|~III,|~,|~E,|~0.5,|~156,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-4-col-5.png
,|~,|~III,|~,|~F/G/H,|~0.6,|~156,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-156-row-4-col-6.png
,|~,|~III,|~,|~A,|~0.1,|~157,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-1-col-1.png
,|~,|~III,|~,|~B,|~0.2,|~157,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-1-col-2.png
,|~,|~III,|~,|~C,|~0.3,|~157,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-1-col-3.png
,|~Adler and 1/1 t. thr. hdst. in mixed grip, also with hop.,|~III,|~,|~D,|~0.4,|~157,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-1-col-4.png
,|~,|~III,|~,|~E,|~0.5,|~157,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-1-col-5.png
,|~,|~III,|~,|~F/G/H,|~0.6,|~157,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-1-col-6.png
,|~Back toss to dorsal hang. he a AR,|~III,|~,|~A,|~0.1,|~157,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-2-col-1.png
Steineman,|~From dorsal hang, uprise fwd. to support rw.,|~III,|~,|~B,|~0.2,|~157,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-2-col-2.png
,|~Stoop in and free back toss to dorsal hang.,|~III,|~,|~C,|~0.3,|~157,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-2-col-3.png
,|~,|~III,|~,|~D,|~0.4,|~157,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-2-col-4.png
,|~,|~III,|~,|~E,|~0.5,|~157,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-2-col-5.png
,|~,|~III,|~,|~F/G/H,|~0.6,|~157,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-2-col-6.png
,|~,|~III,|~,|~A,|~0.1,|~157,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-3-col-1.png
,|~,|~III,|~,|~B,|~0.2,|~157,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-3-col-2.png
Koste,|~Steineman uprise w. stoop or to hdst.,|~III,|~,|~C,|~0.3,|~157,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-3-col-3.png
,|~,|~III,|~,|~D,|~0.4,|~157,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-3-col-4.png
,|~,|~III,|~,|~E,|~0.5,|~157,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-3-col-5.png
,|~,|~III,|~,|~F/G/H,|~0.6,|~157,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-157-row-3-col-6.png
