name,|~explanation,|~group,|~group_name,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
Yeo 2,|~Handspring fwd. and salto fwd. str. w. 5/2 t.,|~I,|~Single salto vaults with complex twists,|~,|~108,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-3-col-4.png
Yang Hak Seon,|~Handspring fwd. and salto fwd. str. w. 3/1 t.,|~I,|~Single salto vaults with complex twists,|~,|~108,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-3-col-5.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~108,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-3-col-6.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~108,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-4-col-1.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~108,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-4-col-2.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~108,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-4-col-3.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~108,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-4-col-4.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~108,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-4-col-5.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~108,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-4-col-6.png
Melissanidis,|~Yurchenko and salto bwd. t. Yurchenko y mortal at. agr.,|~IV,|~Round off entry vaults,|~5.2,|~114,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-1-col-1.png
Yang Wei,|~,|~IV,|~Round off entry vaults,|~56,|~114,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-1-col-2.png
,|~,|~IV,|~Round off entry vaults,|~,|~114,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-1-col-3.png
,|~,|~IV,|~Round off entry vaults,|~,|~114,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-1-col-4.png
,|~,|~IV,|~Round off entry vaults,|~,|~114,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-1-col-5.png
,|~,|~IV,|~Round off entry vaults,|~,|~114,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-1-col-6.png
,|~Round off, % t. and handspring fwd.,|~IV,|~Round off entry vaults,|~,|~114,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-2-col-1.png
,|~Round off, % t. and hdspr. fwd. with ¥ t.,|~IV,|~Round off entry vaults,|~,|~114,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-2-col-2.png
,|~Round off, % t. and hdspr. fwd. with 1/1 t.,|~IV,|~Round off entry vaults,|~,|~114,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-2-col-3.png
,|~Round off, % t. and hdspr. fwd. and salto fwd. tucked.,|~IV,|~Round off entry vaults,|~,|~114,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-2-col-4.png
,|~Round off, % t. and hdspr. fwd. and salto fwd. tucked with ¥ t.,|~IV,|~Round off entry vaults,|~,|~114,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-2-col-5.png
,|~,|~IV,|~Round off entry vaults,|~,|~114,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-114-row-2-col-6.png
