name,|~explanation,|~group,|~group_name,|~element_alphabetic_value,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
,|~,|~I,|~Kip and swing elements & swings through or to handstand,|~F/G/H,|~0.6,|~86,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-86-row-4-col-6.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~A,|~0.1,|~92,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-1-col-1.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~B,|~0.2,|~92,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-1-col-2.png
,|~From cross or L-cross, press to L-sit (2 s.).,|~II,|~Strength elements and hold elements (2 sec.),|~C,|~0.3,|~92,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-1-col-3.png
,|~From L-cross, press to inverted cross (2 s.).,|~II,|~Strength elements and hold elements (2 sec.),|~D,|~0.4,|~92,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-1-col-4.png
,|~(2s). From cross, press with straight body to inverted cross (2 s.). rn |,|~II,|~Strength elements and hold elements (2 sec.),|~E,|~0.5,|~92,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-1-col-5.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~F/G/H,|~0.6,|~92,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-1-col-6.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~A,|~0.1,|~92,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-2-col-1.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~B,|~0.2,|~92,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-2-col-2.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~C,|~0.3,|~92,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-2-col-3.png
,|~From support lever, press to inverted cross (2 s.).,|~II,|~Strength elements and hold elements (2 sec.),|~D,|~0.4,|~92,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-2-col-4.png
,|~From swallow, press to inverted cross (2 s.).,|~II,|~Strength elements and hold elements (2 sec.),|~E,|~0.5,|~92,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-2-col-5.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~F/G/H,|~0.6,|~92,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-2-col-6.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~A,|~0.1,|~92,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-3-col-1.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~B,|~0.2,|~92,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-3-col-2.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~C,|~0.3,|~92,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-3-col-3.png
,|~From cross, press to planche without first going to support (2 s.) horizontal (2 s.).,|~II,|~Strength elements and hold elements (2 sec.),|~D,|~0.4,|~92,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-3-col-4.png
,|~From cross, press to swallow (2 s.) bbe bs cede,|~II,|~Strength elements and hold elements (2 sec.),|~E,|~0.5,|~92,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-3-col-5.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~F/G/H,|~0.6,|~92,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-3-col-6.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~A,|~0.1,|~92,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-4-col-1.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~B,|~0.2,|~92,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-4-col-2.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~C,|~0.3,|~92,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-92-row-4-col-3.png
